pert_id,Target_UniProt,Target_Species,Assay_Type,Assay_Relation,Assay_Value,EvidenceLevel_Assigned,Database
BRD-K44827188,P56726,Mus musculus,IC50,=,5.0,III,BindingDB
BRD-K44827188,P02770,Rattus norvegicus,KD,=,5800.0,III,BindingDB
BRD-K44827188,P02770,Rattus norvegicus,KD,=,171000.0,III,BindingDB
BRD-K44827188,P02770,Rattus norvegicus,KD,=,140000.0,III,BindingDB
BRD-K44827188,Q62226,Mus musculus,IC50,=,13.0,III,BindingDB
BRD-K44827188,Q62226,Mus musculus,IC50,=,7.2,III,BindingDB
BRD-K44827188,Q62226,Mus musculus,IC50,=,3.0,III,BindingDB
BRD-K44827188,Q99835,Homo sapiens,,,,I,Therapeutic Target Database
BRD-K44827188,Q99835,Homo sapiens,,,,II,DrugBank
BRD-K44827188,Q99835,Homo sapiens,IC50,=,7.0,III,BindingDB
BRD-K44827188,Q99835,Homo sapiens,IC50,=,7.0,III,BindingDB
BRD-K44827188,Q99835,Homo sapiens,IC50,=,20.0,III,BindingDB
BRD-K44827188,Q99835,Homo sapiens,Ki,=,16.20000076,III,IUPHAR
BRD-K44827188,Q99835,Homo sapiens,IC50,=,23.0,III,BindingDB
BRD-K44827188,Q99835,Homo sapiens,Ki,=,16.2,III,BindingDB
BRD-K44827188,Q99835,Homo sapiens,IC50,=,33.0,III,BindingDB
BRD-K44827188,P02768,Homo sapiens,KD,=,6000.0,III,BindingDB
BRD-K44827188,P02768,Homo sapiens,KD,=,130000.0,III,BindingDB
BRD-K44827188,P02768,Homo sapiens,KD,=,120000.0,III,BindingDB
BRD-K44827188,P02768,Homo sapiens,KD,=,5500.0,III,BindingDB
BRD-K44827188,Q15465,Homo sapiens,IC50,=,1750.0,III,BindingDB
BRD-K44827188,Q15465,Homo sapiens,IC50,=,15.0,III,BindingDB
BRD-K60866521,O00750,Homo sapiens,IC50,>,1000.0,III,BindingDB
BRD-K60866521,P48736,Homo sapiens,,,,I,Therapeutic Target Database
BRD-K60866521,P48736,Homo sapiens,IC50,=,580.0,III,BindingDB
BRD-K60866521,P48736,Homo sapiens,IC50,=,89.0,III,IUPHAR
BRD-K60866521,P48736,Homo sapiens,IC50,=,89.0,III,BindingDB
BRD-K60866521,P42338,Homo sapiens,IC50,=,1400.0,III,BindingDB
BRD-K60866521,P42338,Homo sapiens,IC50,=,562.0,III,BindingDB
BRD-K60866521,P42338,Homo sapiens,IC50,=,565.0,III,IUPHAR
BRD-K60866521,P42336,Homo sapiens,IC50,=,820.0,III,IUPHAR
BRD-K60866521,P42336,Homo sapiens,IC50,=,820.0,III,BindingDB
BRD-K60866521,P42336,Homo sapiens,IC50,=,9700.0,III,BindingDB
BRD-K60866521,P78527,Homo sapiens,IC50,=,6700.0,III,BindingDB
BRD-K60866521,O00329,Homo sapiens,IC50,=,25.0,III,BindingDB
BRD-K60866521,O00329,Homo sapiens,IC50,=,9.0,III,BindingDB
BRD-K60866521,O00329,Homo sapiens,IC50,=,6.1,III,BindingDB
BRD-K60866521,O00329,Homo sapiens,IC50,=,2.5,III,BindingDB
BRD-K60866521,O00329,Homo sapiens,IC50,=,9.0,III,BindingDB
BRD-K60866521,O00329,Homo sapiens,IC50,=,9.0,III,BindingDB
BRD-K60866521,O00329,Homo sapiens,IC50,=,24.0,III,BindingDB
BRD-K60866521,O00329,Homo sapiens,IC50,=,2.5,III,IUPHAR
BRD-K60866521,O00329,Homo sapiens,IC50,=,2.7,III,BindingDB
BRD-K33240821,P25106,Homo sapiens,,,,II,IUPHAR
BRD-K33240821,P25106,Homo sapiens,,,,II,IUPHAR
BRD-K33240821,P51679,Homo sapiens,IC50,=,651.0,III,IUPHAR
BRD-K33240821,P61073,Homo sapiens,,,,II,IUPHAR
BRD-K33240821,P61073,Homo sapiens,,,,II,DrugBank
BRD-K33240821,P61073,Homo sapiens,,,,I,Therapeutic Target Database
BRD-K33240821,P61073,Homo sapiens,,,,II,DrugBank
BRD-K33240821,P61073,Homo sapiens,IC50,=,289.1,III,BindingDB
BRD-K33240821,P61073,Homo sapiens,IC50,=,245.0,III,BindingDB
BRD-K33240821,P61073,Homo sapiens,IC50,=,0.81,III,BindingDB
BRD-K33240821,P61073,Homo sapiens,IC50,=,12.0,III,BindingDB
BRD-K33240821,P61073,Homo sapiens,IC50,=,30.0,III,BindingDB
BRD-K33240821,P61073,Homo sapiens,Ki,=,220.0,III,BindingDB
BRD-K33240821,P61073,Homo sapiens,IC50,=,15200.0,III,BindingDB
BRD-K33240821,P61073,Homo sapiens,IC50,=,695.0,III,BindingDB
BRD-K33240821,P61073,Homo sapiens,Ki,=,890.0,III,BindingDB
BRD-K33240821,P61073,Homo sapiens,IC50,=,260.0,III,BindingDB
BRD-K33240821,P61073,Homo sapiens,IC50,=,27.4,III,BindingDB
BRD-K33240821,P61073,Homo sapiens,IC50,=,7.0,III,BindingDB
BRD-K33240821,P61073,Homo sapiens,IC50,=,74.0,III,BindingDB
BRD-K33240821,O08565,Rattus norvegicus,IC50,=,108.0,III,BindingDB
BRD-K33240821,P41597,Homo sapiens,IC50,=,0.09,III,BindingDB
BRD-K33240821,P41597,Homo sapiens,IC50,=,0.04,III,BindingDB
BRD-K59456551,P22102,Homo sapiens,IC50,>,20000.0,III,BindingDB
BRD-K59456551,Q63120,Rattus norvegicus,Ki,=,236000.0,III,BindingDB
BRD-K59456551,Q63120,Rattus norvegicus,Ki,=,326000.0,III,BindingDB
BRD-K59456551,P15328,Homo sapiens,IC50,=,114.0,III,BindingDB
BRD-K59456551,P15328,Homo sapiens,IC50,=,461.0,III,BindingDB
BRD-K59456551,P04818,Homo sapiens,IC50,=,170000.0,III,BindingDB
BRD-K59456551,P04818,Homo sapiens,IC50,=,29000.0,III,BindingDB
BRD-K59456551,P04818,Homo sapiens,IC50,=,3600.0,III,BindingDB
BRD-K59456551,P04818,Homo sapiens,IC50,=,170000.0,III,BindingDB
BRD-K59456551,P04818,Homo sapiens,IC50,=,29000.0,III,BindingDB
BRD-K59456551,P04818,Homo sapiens,IC50,>,18000.0,III,BindingDB
BRD-K59456551,P04818,Homo sapiens,IC50,=,120000.0,III,BindingDB
BRD-K59456551,P04818,Homo sapiens,Ki,=,600.0,III,BindingDB
BRD-K59456551,P04818,Homo sapiens,IC50,=,29000.0,III,BindingDB
BRD-K59456551,Q01782,Leishmania major,Ki,=,39.0,III,BindingDB
BRD-K59456551,Q01782,Leishmania major,Ki,=,180.0,III,BindingDB
BRD-K59456551,Q8VC69,Mus musculus,Ki,=,891251.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,14.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,18000.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,33.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,14.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,33.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,11.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,14.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,1.4,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,18000.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,11.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,22.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,33.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,33.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,14.0,III,BindingDB
BRD-K59456551,Q07422,Toxoplasma gondii,IC50,=,14.0,III,BindingDB
BRD-K59456551,P06492,Human herpesvirus 1 (strain 17),IC50,>,35879.0,III,BindingDB
BRD-K59456551,P41440,Homo sapiens,Ki,=,4700.0,III,IUPHAR
BRD-K59456551,P41440,Homo sapiens,Ki,=,3500.0,III,BindingDB
BRD-K59456551,P41440,Homo sapiens,IC50,=,12.0,III,BindingDB
BRD-K59456551,P00378,Gallus gallus,IC50,=,19.0,III,BindingDB
BRD-K59456551,P00378,Gallus gallus,IC50,=,90.0,III,BindingDB
BRD-K59456551,P0A884,Escherichia coli,IC50,=,1800.0,III,BindingDB
BRD-K59456551,P0A884,Escherichia coli,IC50,=,90000.0,III,BindingDB
BRD-K59456551,P0A884,Escherichia coli,IC50,=,90000.0,III,BindingDB
BRD-K59456551,Q15788,Homo sapiens,IC50,>,35879.0,III,BindingDB
BRD-K59456551,Q920D2,Rattus norvegicus,IC50,=,3.0,III,BindingDB
BRD-K59456551,Q920D2,Rattus norvegicus,IC50,=,2.5,III,BindingDB
BRD-K59456551,Q920D2,Rattus norvegicus,IC50,=,3.0,III,BindingDB
BRD-K59456551,Q920D2,Rattus norvegicus,IC50,=,3.0,III,BindingDB
BRD-K59456551,Q920D2,Rattus norvegicus,IC50,=,2.5,III,BindingDB
BRD-K59456551,Q920D2,Rattus norvegicus,IC50,=,4.6,III,BindingDB
BRD-K59456551,Q920D2,Rattus norvegicus,IC50,=,3.0,III,BindingDB
BRD-K59456551,Q9Y6Q9,Homo sapiens,IC50,>,35879.0,III,BindingDB
BRD-K59456551,P00469,Lactobacillus casei,IC50,=,86000.0,III,BindingDB
BRD-K59456551,P00469,Lactobacillus casei,IC50,=,40000.0,III,BindingDB
BRD-K59456551,P00469,Lactobacillus casei,IC50,=,190000.0,III,BindingDB
BRD-K59456551,P00469,Lactobacillus casei,IC50,=,600000.0,III,BindingDB
BRD-K59456551,P00469,Lactobacillus casei,IC50,=,170000.0,III,BindingDB
BRD-K59456551,P00469,Lactobacillus casei,IC50,=,100000.0,III,BindingDB
BRD-K59456551,P00469,Lactobacillus casei,IC50,>,100000.0,III,BindingDB
BRD-K59456551,P00469,Lactobacillus casei,IC50,=,100000.0,III,BindingDB
BRD-K59456551,P00469,Lactobacillus casei,IC50,=,75000.0,III,BindingDB
BRD-K59456551,P00469,Lactobacillus casei,IC50,=,120000.0,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,0.00548,III,BindingDB
BRD-K59456551,P00375,Mus musculus,IC50,=,45.0,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,0.00528,III,BindingDB
BRD-K59456551,P00375,Mus musculus,IC50,=,35.0,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,3900.0,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,0.006,III,BindingDB
BRD-K59456551,P00375,Mus musculus,IC50,=,50.0,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,0.00575,III,BindingDB
BRD-K59456551,P00375,Mus musculus,IC50,=,25.0,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,3900.0,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,0.00482,III,BindingDB
BRD-K59456551,P00375,Mus musculus,IC50,=,25.0,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,0.00442,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,0.00545,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,0.00482,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,0.0032,III,BindingDB
BRD-K59456551,P00375,Mus musculus,IC50,=,35.0,III,BindingDB
BRD-K59456551,P00375,Mus musculus,IC50,=,25.0,III,BindingDB
BRD-K59456551,P00375,Mus musculus,IC50,=,6.6,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,0.0043,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,0.006,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,0.006,III,BindingDB
BRD-K59456551,P00375,Mus musculus,IC50,=,25.0,III,BindingDB
BRD-K59456551,P00375,Mus musculus,IC50,=,73.0,III,BindingDB
BRD-K59456551,P00375,Mus musculus,Ki,=,0.006,III,BindingDB
BRD-K59456551,P00375,Mus musculus,IC50,=,20.0,III,BindingDB
BRD-K59456551,P07382,Leishmania major,Ki,=,0.129,III,BindingDB
BRD-K59456551,P31939,Homo sapiens,IC50,>,20000.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,55.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,1.3,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,11.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,16.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,3.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,10.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,15.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,26.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,10.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,6.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,16.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,6.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,15.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,16.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,16.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,12.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,8.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,3.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,5.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,2.2,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,Ki,=,0.004,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,8.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,9.6,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,6.0,III,BindingDB
BRD-K59456551,P00381,Lactobacillus casei,IC50,=,8.5,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,,,,II,DrugBank
BRD-K59456551,P00374,Homo sapiens,,,,II,DrugBank
BRD-K59456551,P00374,Homo sapiens,,,,II,DrugBank
BRD-K59456551,P00374,Homo sapiens,,,,II,DrugBank
BRD-K59456551,P00374,Homo sapiens,,,,II,DrugBank
BRD-K59456551,P00374,Homo sapiens,,,,II,DrugBank
BRD-K59456551,P00374,Homo sapiens,Ki,=,0.038,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,2.1,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,Ki,=,0.0012,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,1.2,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,Ki,=,1.200000048,III,IUPHAR
BRD-K59456551,P00374,Homo sapiens,IC50,=,20.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,Ki,=,5.2,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,9.6,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,9.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,13.8,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,4.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,2.7,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,20.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,20.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,1.5,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,44.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,32.94,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,9.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,80.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,20.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,0.72,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,11.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,24.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,1.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,18.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,30.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,3.8,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,2.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,38.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,Ki,=,0.179,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,1.4,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,20.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,20.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,4.3,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,3.9,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,0.82,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,40.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,6.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,Ki,=,0.11,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,25.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,720.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,1.7,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,66.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,Ki,=,0.00034,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,24.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,14.5,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,0.7,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,24.3,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,Ki,=,4420.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,35.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,2.7,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,22.0,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,0.6,III,BindingDB
BRD-K59456551,P00374,Homo sapiens,IC50,=,26.0,III,BindingDB
BRD-K59456551,P16184,Pneumocystis carinii,IC50,=,1.3,III,BindingDB
BRD-K59456551,P16184,Pneumocystis carinii,IC50,=,880.0,III,BindingDB
BRD-K59456551,P16184,Pneumocystis carinii,IC50,=,1.0,III,BindingDB
BRD-K59456551,P16184,Pneumocystis carinii,Ki,=,0.008,III,BindingDB
BRD-K59456551,P16184,Pneumocystis carinii,IC50,=,1.0,III,BindingDB
BRD-K59456551,P16184,Pneumocystis carinii,IC50,=,1.3,III,BindingDB
BRD-K59456551,P16184,Pneumocystis carinii,IC50,=,1.3,III,BindingDB
BRD-K59456551,P16184,Pneumocystis carinii,IC50,=,1.0,III,BindingDB
BRD-K59456551,P16184,Pneumocystis carinii,IC50,=,1.0,III,BindingDB
BRD-K59456551,Q64737,Mouse,IC50,>,20000.0,III,BindingDB
BRD-K59456551,Q64737,Mouse,IC50,>,20000.0,III,BindingDB
BRD-K59456551,Q05932,Homo sapiens,IC50,=,3200.0,III,BindingDB
BRD-K59456551,O88563,Rattus norvegicus,Ki,=,90000.0,III,BindingDB
BRD-K59456551,P48760,Mus musculus,Ki,=,166000.0,III,BindingDB
BRD-K59456551,P0ABQ4,Escherichia coli,IC50,=,4400.0,III,BindingDB
BRD-K59456551,P0ABQ4,Escherichia coli,IC50,=,9.0,III,BindingDB
BRD-K59456551,P0ABQ4,Escherichia coli,IC50,=,3.0,III,BindingDB
BRD-K59456551,P0ABQ4,Escherichia coli,IC50,=,7.0,III,BindingDB
BRD-K59456551,P0ABQ4,Escherichia coli,IC50,=,8.8,III,BindingDB
BRD-K59456551,P0ABQ4,Escherichia coli,IC50,=,6.0,III,BindingDB
BRD-K59456551,P0ABQ4,Escherichia coli,IC50,=,7.0,III,BindingDB
BRD-K59456551,P0ABQ4,Escherichia coli,EC50,=,1.0,III,BindingDB
BRD-K59456551,P0ABQ4,Escherichia coli,IC50,=,9.0,III,BindingDB
BRD-K59456551,P0ABQ4,Escherichia coli,IC50,=,6.6,III,BindingDB
BRD-K59456551,P0ABQ4,Escherichia coli,IC50,=,8.8,III,BindingDB
BRD-K59456551,P0ABQ4,Escherichia coli,IC50,=,6.6,III,BindingDB
BRD-K59456551,P0ABQ4,Escherichia coli,KD,<,1.0,III,BindingDB
BRD-K59456551,Q80UJ1,Mus musculus,Ki,=,597000.0,III,BindingDB
BRD-K59456551,P00376,Bos taurus,IC50,=,8.0,III,BindingDB
BRD-K59456551,P00376,Bos taurus,IC50,=,80.0,III,BindingDB
BRD-K59456551,P00376,Bos taurus,IC50,=,3.4,III,BindingDB
BRD-K59456551,P00376,Bos taurus,IC50,=,1.7,III,BindingDB
BRD-K59456551,P00376,Bos taurus,IC50,=,3.4,III,BindingDB
BRD-K59456551,P00376,Bos taurus,IC50,=,3.3,III,BindingDB
BRD-K59456551,P00376,Bos taurus,IC50,=,80.0,III,BindingDB
BRD-K59456551,P00376,Bos taurus,IC50,=,80.0,III,BindingDB
BRD-K59456551,P00376,Bos taurus,IC50,=,80.0,III,BindingDB
BRD-K59456551,Q9UM07,Homo sapiens,IC50,>,10000000.0,III,BindingDB
BRD-K59456551,P14207,Homo sapiens,IC50,=,211.0,III,BindingDB
BRD-K59456551,P14207,Homo sapiens,IC50,=,106.0,III,BindingDB
BRD-K59456551,P07607,Mus musculus,IC50,=,20000.0,III,BindingDB
BRD-K59456551,P07607,Mus musculus,IC50,=,20000.0,III,BindingDB
BRD-K59456551,P07607,Mus musculus,Ki,=,45000.0,III,BindingDB
BRD-K59456551,Q96NT5,Homo sapiens,IC50,=,121.0,III,BindingDB
BRD-K81528515,P78356,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,O94806,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P19525,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P00533,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P00533,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P00533,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P00533,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P00533,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P00533,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P00533,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P00533,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P00533,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P00533,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P00533,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P00533,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,O94768,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P42680,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,Q9H2X6,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,O14965,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,Q9HC98,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,P37173,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,O95819,Homo sapiens,KD,>,10000.0,III,BindingDB
BRD-K81528515,O75582,Homo sapiens,KD,>,10000.0,III,BindingDB
